gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Xcl1,0.11970234,0.0010938178,-0.111969665,
Pbx1,0.06031642,0.0003720913,-0.05819535,
Uap1,0.11421854,0.00039117786,-0.107762195,
Sh2d1b1,0.027146481,0.00040836915,-0.026376264,
Fcrla,0.092211604,0.00037273238,-0.087831974,
Fcgr2b,0.09126053,0.00035392345,-0.08697962,
Fcgr3,0.1116595,0.00040493344,-0.10544909,
Fcer1g,0.68523395,0.0010120636,-0.52089286,
B4galt3,0.11144292,0.00037062197,-0.10528855,
Nectin4,0.02182334,0.00038840776,-0.021200286,
F11r,0.05983102,0.00037254381,-0.057737008,
Cd244,0.16260506,0.0004844537,-0.1501789,
Slamf7,0.23260874,0.00048716273,-0.2086458,
Cd48,0.6696701,0.00081977574,-0.5118066,
Slamf6,0.35929176,0.0007927522,-0.30617136,
Slamf9,0.009436342,0.00032444895,-0.009067701,
Tagln2,0.92835206,0.00089839246,-0.65576774,
Slamf8,0.041565068,0.0003163646,-0.040408142,
Ifi206,0.30518332,0.0009153893,-0.26542854,
Ifi213,0.13285793,0.00069794455,-0.124045886,
Ifi209,0.40024465,0.0009197572,-0.33572763,
Ifi207,0.029902764,0.00037031795,-0.029094145,
Ifi204,0.017360294,0.0005336583,-0.01667781,
Mndal,0.8728161,0.0013588103,-0.62608534,
Ifi211,0.023930103,0.00049282686,-0.02315556,
Ifi205,0.067883156,0.00036759593,-0.0653108,
Kmo,0.06999863,0.0003880632,-0.06726938,
Cep170,0.06816923,0.00043056157,-0.06551571,
Sdccag8,0.044283085,0.0004602908,-0.04287042,
Zbtb18,0.08679191,0.00035175166,-0.08287847,
Tfb2m,0.011332581,0.00042712412,-0.010841816,
Lbr,0.2858843,0.0006306821,-0.25081617,
Hlx,0.07601834,0.00038494339,-0.07288264,
Cenpf,0.026221953,0.00037257146,-0.02551155,
Ptpn14,0.039097354,0.0003097909,-0.038042665,
Smyd2,0.027153175,0.00038215434,-0.026408987,
Batf3,0.115208805,0.0004571151,-0.10858465,
Atf3,0.020598363,0.00032217763,-0.020066962,
Nenf,0.105394915,0.0003667635,-0.09983597,
Dtl,0.041303843,0.00037841997,-0.040095273,
Rcor3,0.055097323,0.0005159353,-0.05311721,
G0s2,0.055584896,0.00041620774,-0.053678896,
Cr2,0.08660057,0.000370476,-0.082683675,
Fam107b,0.45065385,0.00051271624,-0.3715018,
Frmd4a,0.16896522,0.0003945615,-0.15572445,
Camk1d,0.09519203,0.0004977582,-0.09043209,
Pfkfb3,0.18435232,0.00049154373,-0.16870464,
Il15ra,0.13088943,0.00040629136,-0.12259822,
Mindy3,0.102221705,0.000532033,-0.09679598,
Vim,1.278739,0.001094671,-0.8225282,
Stam,0.03698284,0.0003673674,-0.035948083,
Mllt10,0.20858787,0.00051215227,-0.18894061,
Bmi1,0.043378334,0.0004009598,-0.042062968,
Msrb2,0.011128032,0.00041587494,-0.010650782,
Il1rn,0.03997771,0.00047930013,-0.038720097,
Zmynd19,0.034325488,0.0003713765,-0.033378206,
Tubb4b,0.47137278,0.00075623096,-0.3854399,
Npdc1,0.024453336,0.00031013912,-0.023849048,
Camsap1,0.015492645,0.00041484355,-0.0149591025,
Nacc2,0.054504853,0.00031522164,-0.05275615,
Dnlz,0.14823827,0.00042574274,-0.13780317,
Med22,0.07896326,0.00033328886,-0.075667396,
Slc2a6,0.031192608,0.00043872558,-0.030277375,
